Years,Christians,Population ,PercentagePopulation,NoReligion
1966,2386331,2676919,0.891447,NA
1971,2417439,2862631,0.844482,NA
1976,2481788,3129383,0.79306,NA
1981,2337384,3175737,0.736013,NA
1986,2378193,3263283,0.728773,NA
1991,2186094,3373926,0.647938,NA
1996,2189835,3418461,0.640591,NA
2001,2141199,3711107,0.57697,29.64
2006,2130924,3931221,0.542051,34.65
2013,1906398,"4,242,048",0.4886738,41.92
2018,"1,738,638","4,699,755",0.3731,48.59
